;Housing_Heating;Housing_equipment;Housing_total;Transport;Industry;Construction;Agriculture3);Services and public sector;Consumption;Losses;Total consumption
1960;..;..;10;33;6266;80;110;749;8093;696;8789
1961;..;..;10;32;7571;91;123;811;9546;906;10448
1962;..;..;10;33;8263;93;130;967;10532;983;11515
1963;..;..;15;30;8465;97;138;1042;10947;968;11915
1964;..;..;15;32;9306;101;157;1174;12058;1099;13157
1965;..;..;20;32;10012;115;159;1304;13094;1148;14242
1966;..;..;35;32;10814;118;174;1492;14292;1118;15410
1967;..;..;80;29;11171;125;185;1685;15053;1341;16394
1968;..;..;214;29;11866;119;200;1963;16357;1288;17645
1969;..;..;425;34;13070;137;212;2168;18193;1267;19460
1970;..;..;3076;35;14336;160;230;2469;20306;1511;21817
1971;..;..;3646;44;14968;160;280;2805;21903;1720;23623
1972;..;..;4237;53;16854;175;340;3164;24823;1931;26754
1973;..;..;4892;59;18204;190;410;3521;27276;2206;29482
1974;..;..;5136;65;18510;250;380;3530;27871;1864;29735
1975;..;..;5588;90;16805;310;370;3854;27017;2159;29176
1976;..;..;6514;120;17822;370;450;4326;29602;2352;31954
1977;..;..;6876;135;18251;320;450;4464;30496;2085;32581
1978;..;..;7442;155;19897;320;490;4845;33149;2148;35297
1979;..;..;7813;190;21917;300;520;5148;35888;2098;37986
1980;..;..;8156;220;22952;300;490;5498;37616;2305;39921
1981;..;..;8539;235;23535;290;500;5864;38963;2396;41359
1982;..;..;9044;255;22 887;290;560;6330;39366;2303;41669
1983;..;..;9486;280;24 399;315;590;7367;42437;2688;45125
1984;..;..;10336;305;26591;350;710;7536;45828;2613;48441
1985;..;..;11863;330;27372;390;970;8038;48963;3080;52043
1986;..;..;12225;305;27662;407;960;8331;49890;2833;52723
1987;..;..;13328;335;29132;440;1 150;9096;53481;2961;56442
1988;..;..;13327;355;31044;433;1 050;9449;55658;2994;58652
1989;..;..;13495;365;31945;473;1 020;9840;57138;2884;60022
1990;..;..;14600;385;32593;490;1 000;10442;59509;2825;62334
1991;..;..;15640;395;31569;402;900;10775;59680;2608;62288
1992;..;..;15838;405;31970;312;849;11003;60377;2820;63197
1993;..;..;16313;420;33951;249;849;11068;62850;2695;65545
1994;..;..;16983;440;35921;231;819;11281;65675;2583;68258
1995;6450;..;16261;465;36781;205;789;11427;65928;3019;68947
1996;7050;..;17233;470;36703;210;809;11888;67313;2706;70019
1997;7035;..;17419;495;40004;200;819;12151;71088;2516;73604
1998;7365;..;18139;516;41560;220;819;12558;73812;2819;76631
1999;7310;..;18449;519;42093;222;829;12888;75000;2780;77780
2000;6830;..;17443;537;43 538;214;1521;13287;76539;2630;79169
2001;7690;..;18650;565;43094;240;1576;14131;78256;2940;81197
2002;7940;..;19096;594;44341;245;1695;14646;80616;2940;83556
2003;8040;..;19915;627;44992;242;1353;14673;81802;3444;85247
2004;8110;..;19789;630;46795;256;1419;15173;84061;2996;87057
2005;8100;..;20271;648;43680;270;1254;15523;81646;3039;84684
2006;8230;..;20676;675;47830;300;1573;15937;86991;3051;90042
2007;8130;..;20666;725;47677;349;1733;16200;87349;3039;90388
2008;11772;8623;20395;734;44259;319;1682;16549;83937;3330;87267
2009;12376;8970;21346;715;37304;314;1609;17254;78542;2768;81311
2010;13937;8967;22904;740;41466;354;1655;17846;84965;2761;87726
2011;13214;8212;21426;730;40357;349;1454;17263;81578;2 693;84271
2012;13636;8746;22382;737;39321;368;1584;17857;82248;2909;85157
2013;13227;8284;21511;734;39833;378;1507;17504;81467;2602;84069
2014;13276;7988;21264;724;39250;433;1531;17457;80659;2766;83425
2015;13137;7781;20918;706;39103;372;1530;17430;80059;2435;82493
2016;14320;8198;22518;708;39702;416;1579;17645;82569;2586;85155
2017;14478;8034;22512;775;39924;445;1523;17521;82700;2768;85467
2018;14526;8205;22731;843;40746;415;1508;18201;84444;3024;87467
2019;14107;8439;22546;859;39796;489;1475;17867;83031;3062;86092
2020;13523;8518;22041;816;36862;469;1400;16964;78552;3021;81573
